Type;Name;Skill;Tools;Method;Date;Associated with;Link;Status;Date_MY
Report;BERT Applications for NLP;['Data Cleaning', ' Data Exploration', ' Sentiment Analysis', ' Natural Language Processing (NLP)', ' Data Visualization', ' Imbalance Handling', ' Classification', ' Text Analysis', ' Machine Learning', ' Deep Learning', ' Text Summarization', ' Question Answering', ' Named Entity Recognition (NER)', ' Text Classification', ' Pharaphrase Detection', ' Semantic Similarity'];['Python', ' Tensorflow', ' Transformers', ' NLTK', ' Spacy', ' Scikit-learn'];['BERT'];2024-06-01;Bogor Agricultural (IPB) University;https://colab.research.google.com/drive/1JkvHyfq9P48MCGExFtHH_zTGxFmMD_fv?usp=sharing;Individual;06-2024
Dashboard;Dashboard Making on Inter-Regional Input-Output Table from Statistics Center Association of Indonesian Republic, 2016;['Data Visualization', ' Dashboard Making', ' Chatbots Making', ' Data Cleaning', ' Data Exploration', ' Machine Learning', ' Data Aggregation', ' Data Wrangling'];['Python', ' Streamlit', ' OpenAI', ' Microsoft Excel', ' Git'];['Clustering', ' Text Analytics', ' Large Language Model (LLM)'];2024-05-01;Bogor Agricultural (IPB) University;https://bit.ly/anovasion-irio, https://github.com/ANOVAsion/IRIOdashboard;Teamwork;05-2024
Report;Text Summarization for NLP;['Text Analysis', ' Natural Language Processing (NLP)'];['Python', ' Spacy', ' NLTK'];['TextRank'];2024-05-01;Bogor Agricultural (IPB) University;https://drive.google.com/file/d/124W6cPHAv6ZYPItQHZZ657i3r0jtweJ4/view?usp=sharing;Individual;05-2024
Report;Sentiment Analysis Methods;['Data Cleaning', ' Data Exploration', ' Sentiment Analysis', ' Natural Language Processing (NLP)', ' Data Visualization', ' Imbalance Handling', ' Classification', ' Text Analysis', ' Machine Learning', ' Deep Learning'];['Python', ' Tensorflow', ' Scikit-learn', ' Transformers', ' Plotly'];['BERT', ' Lexicon Based Sentiment Analysis', ' SMOTE', ' TF-IDF'];2024-04-01;Bogor Agricultural (IPB) University;https://drive.google.com/file/d/1vTb72CB9afZND-fmiFwD_1gBjUx8qzBz/view?usp=sharing, https://colab.research.google.com/drive/16RHC8WAMa15sZWZoYr60YDl4JDIcyrfL?usp=sharing;Individual;04-2024
Research Paper;Regularization of Machine Learning Models with Penalized Regression on Data Containing Multicollinearity (Case Study on Predicting the Human Development Index in 34 Provinces in Indonesia);['Classification', ' Machine Learning', ' Data Simulation', ' Anomaly Detection', ' Data Cleaning', ' Data Collecting', ' Data Visualization', ' Data Exploration', ' Predictive Analysis'];['R'];['LASSO', ' Ridge', ' Elastic Net', ' Penalized Regression', ' Random Forest', ' kNN', ' XGBoost', ' Correlation Data Simulation'];2024-03-01;Bogor Agricultural (IPB) University;https://doi.org/10.19184/mims.v24i1.40360;Individual;03-2024
Report;Indonesian Language Part of Speech (POS) Tagging for NLP;['Data Cleaning', ' Data Exploration', ' Part of Speech (POS) Tagging', ' Natural Language Processing (NLP)', ' Data Visualization', ' Text Analysis'];['Python', ' Spacy', ' NLTK', ' FlairNLP '];['Hidden Markov Model', ' Conditional Random Field'];2024-03-01;Bogor Agricultural (IPB) University;https://colab.research.google.com/drive/1M9--6NG6LmyGOO-F0Nx8iS01UAaw1R94?usp=sharing;Individual;03-2024
Report;Term Weighting Methods for NLP;['Data Cleaning', ' Data Exploration', ' Term Weighting', ' Natural Language Processing (NLP)', ' Data Visualization', ' Text Analysis'];['Python', ' Plotly', ' Spacy'];['TF-IDF', ' Boolean Term Frequency'];2024-02-01;Bogor Agricultural (IPB) University;https://colab.research.google.com/drive/1j3ma4x8KdHVVqigNsOVFEy6sLRRz7w07?usp=sharing;Individual;02-2024
Report;Data Acquisition Methods and Sources;['Data Collecting', ' Data Acquisition', ' Web Scraping', ' Web Crawling'];['Python'];['-'];2024-01-01;Bogor Agricultural (IPB) University;https://colab.research.google.com/drive/1zn1oaNWjPZQ9RsgCU53igXA7WDq-YZF8?usp=sharing;Individual;01-2024
Research Paper;Application of Multi-Clustering in Grouping Regencies/Cities in West Java Province Based on the Village Development Index;['Clustering', ' Machine Learning', ' Data Exploration', ' Data Visualization', ' Data Cleaning', ' Data Wrangling'];['R'];['KMeans Clustering', ' Multi Clustering'];2023-12-01;Bogor Agricultural (IPB) University;https://doi.org/10.46306/lb.v4i3.459;Individual;12-2023
Dashboard;Linear Regression Exploration Dashboard;['Regression', ' Data Visualization', ' Dashboard Making', ' Data Exploration', ' Data Simulation'];['R', ' R Shiny', ' Git'];['Regression Analysis', ' Assumption Test'];2023-12-01;Bogor Agricultural (IPB) University;http://sta1111.stats.id/07-reglin-exploration/, https://github.com/shinySTA22/EVD-shiny;Teamwork;12-2023
